rank,run,frequency_hz,composite_recognisability,enrichment_factor,coverage_recall,gaussian_contrast,directional_alignment
81,tags_ic_case_a_target_thick,321.0,0.09976725419473229,0.9630514803704565,0.0,0.9613492228950216,0.9976725419473228
82,tags_ic_case_a_target_thick,331.0,0.0976330665460558,0.9023613646581906,0.0,0.8981589735078926,0.9763306654605579
83,diagonal_dense_sweep,820.0,0.09751616631025589,0.8326378807813928,0.1498164831498165,0.826012837751906,0.5257122136531095
84,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,200.0,0.09691322043276993,0.8889563298742866,0.14247580914247582,0.8842507681615553,0.5417047769002717
85,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,320.0,0.09480682045579009,0.5340965027162489,0.004004004004004004,0.5224320603352182,0.9360561925458888
86,diagonal_dense_sweep,740.0,0.09344072689736233,1.0232627507228171,0.2222222222222222,1.0244048132993533,0.1275318650692862
87,tags_ic_case_a_target_thick,346.0,0.09140709655554047,0.8049894559268497,0.0,0.7975363420092754,0.9140709655554046
88,diagonal_dense_sweep,340.0,0.09080283675887509,0.435865130448471,0.08775442108775443,0.424391903697844,0.6447651043254876
89,diagonal_dense_sweep,100.0,0.08893737332190989,0.8988545003051743,0.03570236903570237,0.8945188013909956,0.7822666261119917
90,diagonal_dense_sweep,500.0,0.08736126692397288,1.0580384064214023,0.09676343009676343,1.0609892261903273,0.23925243360179882
91,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,750.0,0.08684194372823834,0.9735878727792815,0.19452786119452786,0.9723571326887704,0.2848358536987998
92,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,540.0,0.08672865432836893,0.8477073316498036,0.1324657991324658,0.8415654465453783,0.4698891458862918
93,tags_ic_case_a_target_thick,341.0,0.08579218366102642,0.8402467960238235,0.0,0.8338629372410805,0.8579218366102642
94,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,300.0,0.07912841740640682,0.9942780223621325,0.2365699032365699,0.9940055320910719,0.08157446435435858
95,pipeline_w7_multi_proper_w7_multifreq_ic_v2_diverse,286.154,0.07829307386384474,0.8165748126078253,0.0,0.8094595970626843,0.7829307386384473
96,diagonal_dense_sweep,380.0,0.07202145233885424,0.8539603633333114,0.1838505171838505,0.8480253948591131,0.1686629718369909
97,diagonal_dense_sweep,180.0,0.06707821761467087,0.555810004588658,0.05638972305638972,0.5442253349526504,0.5016130069775395
98,tags_ic_case_a_target_thick,336.0,0.06503809191353309,0.8781816815084169,0.0,0.8730847969922331,0.6503809191353308
99,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,400.0,0.05588492961931748,0.8321298962689994,0.17117117117117117,0.8254891082534458,0.045335782679661346
100,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,750.0,0.055692963427478995,0.8533770747717402,0.06172839506172839,0.8474227936834796,0.37174444908960474
101,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v2_strong,950.0,0.05292467333326685,0.9232055115426726,0.12312312312312312,0.9198204687585776,0.15987736396329916
102,diagonal_dense_sweep,300.0,0.04839466819725416,0.8315074031652927,0.04771438104771438,0.8248470922821162,0.34080353882939846
103,pipeline_diagonal_v1_w4_pipeline_diagonal_v1,300.0,0.04839466819725416,0.8315074031652927,0.04771438104771438,0.8248470922821162,0.34080353882939846
104,pipeline_diagonal_v1_w6_pipeline_diagonal_v1_v1,300.0,0.04275926588532292,0.4368828385439165,0.007674341007674341,0.4254030563135631,0.40456963583020616
105,pipeline_ic_multifreq_probe_w6_pipeline_ic_full_v1,180.0,0.04147456062727436,0.7906552762347873,0.009009009009009009,0.7828020113517495,0.3877185792457165
